                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.12% (0.71%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  8.88% (1.95%) * |  3.48% (0.92%) * |  1.43% (0.36%) * |  1.29% (0.25%) * |  0.71% (0.29%) *
audiology       |     74.77% | 61.50% (5.75%) * | 46.43% (5.37%) * | 29.42% (1.76%) * | 21.92% (2.79%) * | 22.65% (1.66%) *
autos           |     67.35% | 71.00% (6.63%)   | 47.33% (5.56%) * | 34.15% (4.04%) * | 29.07% (3.10%) * | 21.22% (2.93%) *
credit-a        |     44.49% | 20.38% (2.99%) * | 13.02% (1.63%) * | 19.49% (1.59%) * | 19.34% (1.30%) * | 19.46% (0.86%) *
hypothyroid     |      7.71% |  2.97% (0.50%) * |  1.57% (0.21%) * |  0.66% (0.05%) * |  0.76% (0.10%) * |  0.62% (0.08%) *
letter          |     96.26% | 28.76% (0.50%) * | 21.52% (0.45%) * | 16.52% (0.19%) * | 13.36% (0.08%) * | 11.80% (0.19%) *
microarray      |     50.20% | 52.60% (3.65%)   | 52.33% (2.78%)   | 50.88% (3.08%)   | 46.62% (1.57%) * | 49.25% (1.42%)  
vote            |     38.63% | 14.35% (2.95%) * |  5.80% (1.46%) * |  7.05% (1.17%) * |  3.14% (0.30%) * |  5.98% (0.44%) *
